,Balanced Accuracy,Default Precision,Default Recall,Default F1-Score,Default Support,Fully Paid Precision,Fully Paid Recall,Fully Paid F1-Score,Fully Paid Support,C,Penalty,Solver,Tolerance,Time,Random State
0,0.6170525578469612,0.1877333576177033,0.6270086683226035,0.2889514442900027,19727,0.9182898389783454,0.6070964473713191,0.7309499290635952,136209,0.01,l1,saga,0.0001,108.45105472300202,0
1,0.6166025486997742,0.18877955154764806,0.6245212658738157,0.28992186403406167,19844,0.9174751905015063,0.6086838315257326,0.7318402685749623,136092,0.1,l2,saga,0.0001,112.73880609869957,1
2,0.6159658934715867,0.18880351262349068,0.6230003018412316,0.28978588978588976,19878,0.9170503851943682,0.6089314851019418,0.7318839939576506,136058,0.01,l2,saga,0.001,84.58702639210969,2
3,0.6168093620259021,0.18870266914959652,0.6274351875157312,0.2901438614460636,19865,0.917661456305279,0.606183536536073,0.7300890438846501,136071,0.1,l2,saga,0.0001,110.77358758589253,3
4,0.6153448144308511,0.18818635607321132,0.6252072968490879,0.2892953063051541,19899,0.916972814107274,0.6054823320126143,0.7293624896508061,136037,0.01,l2,saga,0.001,95.6080691688694,4
5,0.6172364205870132,0.189944558365611,0.6266599849661739,0.291525818860007,19955,0.9173150131519073,0.6078128562078525,0.7311594908042214,135981,0.1,l1,saga,0.0001,133.7934451578185,5
6,0.6167842205647933,0.18784238564508096,0.6288586874147426,0.2892767500232407,19793,0.918080135603805,0.6047097537148439,0.7291511673220675,136143,0.01,l2,saga,0.001,131.92866701167077,6
7,0.613659683764082,0.18815941027413038,0.6158950384557382,0.28825522303783174,19893,0.9158674755838407,0.6114243290724256,0.7333027717046336,136043,0.1,l1,saga,0.001,36.67769031831995,7
8,0.6160929683514735,0.18701235983882408,0.6277290917380072,0.28817264313287755,19741,0.9180466807177188,0.60445684496494,0.7289567357925869,136195,0.1,l1,saga,0.001,98.3243990871124,8
9,0.6147363927992906,0.18633335334013565,0.6277423920736023,0.2873672274547011,19782,0.9175290059579806,0.601730393524979,0.7268081935363679,136154,0.01,l2,saga,0.001,115.19295294722542,9
10,0.6164957856045263,0.1883556970661815,0.626317116208722,0.2896141741461709,19835,0.9176270546004156,0.6066744550003307,0.7304340902858254,136101,0.1,l1,saga,0.001,119.82569928094745,10
11,0.6164023584187972,0.188509766095973,0.6286058900391999,0.2900405797101449,19898,0.9175075906411859,0.6041988267983945,0.7285991614292932,136038,0.01,l2,saga,0.001,118.99181559076533,11
12,0.6167033651211642,0.18886974396179076,0.6279081453193307,0.2903919221965305,19901,0.9175150934569029,0.6054985849229978,0.7295457665549202,136035,0.1,l1,saga,0.001,101.54162795003504,12
13,0.6165458558743354,0.18701080179679402,0.6304380855912889,0.28845529962460026,19745,0.9183534176988576,0.6026536261573819,0.7277402422372364,136191,0.1,l1,saga,0.0001,86.16563638160005,13
14,0.6150869411972038,0.18672293311552773,0.625,0.2875410523373629,19752,0.9175369063258444,0.6051738823944076,0.7293169207897136,136184,0.1,l2,saga,0.001,126.71734753809869,14
15,0.6150491942219649,0.18823493054375204,0.6159368995853979,0.28834842298360847,19778,0.9167278746752321,0.614161488858532,0.735544931985205,136158,0.1,l1,saga,0.001,82.64841126697138,15
16,0.6148507735744472,0.18816149317841196,0.6156101506419978,0.28822645349869236,19782,0.9166365181165379,0.6140913965068966,0.7354652569171699,136154,0.1,l2,saga,0.0001,177.19478579703718,16
17,0.6169876597664024,0.18784728445958057,0.6335197219283664,0.28977292365119417,19851,0.918247404144379,0.6004555976044385,0.7261021979535528,136085,0.1,l2,saga,0.001,107.4760683439672,17
18,0.6142727121694306,0.18772981797653376,0.6197552007253312,0.2881701290488793,19853,0.9164887438464517,0.60879022361353,0.7316030696138257,136083,0.01,l1,saga,0.0001,114.78915794193745,18
19,0.6150085784055146,0.1883315491665392,0.6200594129197926,0.2889115670197417,19861,0.9166611446115787,0.6099577438912365,0.7325005184868127,136075,0.01,l1,saga,0.0001,116.45408423105255,19
20,0.6156878566793446,0.18936722954165894,0.6166163141993958,0.2897501419647927,19860,0.9165753604768374,0.6147593991592933,0.7359244141037371,136076,0.01,l1,saga,0.0001,119.96202659932896,20
21,0.6168415776273143,0.18836615609044494,0.6260289884349275,0.28959572007616025,19801,0.9178390733179478,0.6076541668197011,0.731211024338933,136135,0.1,l2,saga,0.001,137.5456491052173,21
22,0.6162717894609342,0.18805159538357094,0.6280229746070133,0.28943610462888786,19848,0.9176473212791826,0.6045206043148551,0.7288771545900353,136088,0.1,l2,saga,0.0001,100.1433867616579,22
23,0.6178618283316408,0.18826472594951102,0.6288362199939228,0.28977491511184233,19746,0.918549471555106,0.606887436669359,0.7308806168783796,136190,0.1,l1,saga,0.0001,98.02826835820451,23
24,0.6164564428362332,0.18777708847160646,0.6271794612624451,0.2890213796637011,19787,0.9178937527129454,0.6057334244100214,0.7298359262995806,136149,0.1,l1,saga,0.0001,147.45543164992705,24
25,0.6168980089111656,0.18791535371335555,0.6334256229549459,0.2898440559279479,19865,0.9181567856139365,0.6003703948673854,0.7260115709677133,136071,0.1,l2,saga,0.0001,104.40736609185115,25
26,0.6183751370460417,0.18914639846801068,0.6319077124578107,0.2911454102355809,19851,0.9184641306894897,0.6048425616342727,0.7293688137455583,136085,0.1,l1,saga,0.001,101.46702514309436,26
27,0.616475162563361,0.1897152039996429,0.6338868449835935,0.2920293174530463,20114,0.917006649385777,0.5990634801431285,0.724696284156899,135822,0.1,l2,saga,0.0001,118.35516089713201,27
